Communauté,Région,Département,Commune,Zone,Zone_ID,Statut_PRCC,Jeunes_15_35,RPP,PS,Score_PRCC,Score_Jeunesse,Score_Proximite,Score_Densite,Score_Total,Latitude,Longitude
Darou Salam Amadou DIALLO,Kolda,Médina Yoro Foulah,Koulinto,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,11,15,59,13.2079245,-15.1437652
Touba Sankoung,Kolda,Médina Yoro Foulah,Koulinto,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,86,Oui,Oui,25,3,11,15,54,13.0485821,-14.8803375
Koulinto,Kolda,Médina Yoro Foulah,Koulinto,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,62,Oui,Oui,25,3,11,15,54,13.033333,-14.8
Kokolé Diarga,Kolda,Médina Yoro Foulah,koulinto,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,11,15,59,13.2079245,-15.1437652
Kounousse Dialimang,Kolda,Médina Yoro Foulah,koulinto,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,11,15,59,13.2079245,-15.1437652
Saré Konko,Kolda,Médina Yoro Foulah,koulinto,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,11,15,59,12.9997976,-14.832531
Saré Koupé,Kolda,Médina Yoro Foulah,koulinto,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,11,15,59,13.2079245,-15.1437652
Saré Yaya Mballo,Kolda,Médina Yoro Foulah,koulinto,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,11,15,59,13.083333,-14.883333
Kamboua,Kolda,Kolda,Salikégné,Zone 1 – Kolda & Sédhiou,1,Terminé 2011,271,Oui,Non,3,14,11,8,36,12.7,-14.766667
Mankacounda,Kolda,Vélingara,Némataba,Zone 1 – Kolda & Sédhiou,1,Terminé 2011,344,Oui,Oui,3,14,11,15,43,13.2277887,-14.071639
Némataba,Kolda,Vélingara,Némataba,Zone 1 – Kolda & Sédhiou,1,Terminé 2011,256,Oui,Oui,3,14,11,15,43,13.216667,-14.083333
Saré Birou,Kolda,Vélingara,nemataba,Zone 1 – Kolda & Sédhiou,1,Terminé 2011,216,Oui,Oui,3,14,11,15,43,13.2,-14.083333
Badion,Kolda,Médina Yoro Foulah,badion,Zone 1 – Kolda & Sédhiou,1,Terminé 2012,386,Oui,Non,3,14,11,8,36,13.083333,-14.35
Abecouta,Kolda,Médina Yoro Foulah,dinguiraye,Zone 1 – Kolda & Sédhiou,1,Terminé 2012,349,Oui,Non,3,14,11,8,36,13.333333,-14.616667
Dinguiraye,Kolda,Médina Yoro Foulah,dinguiraye,Zone 1 – Kolda & Sédhiou,1,Terminé 2012,311,Oui,Non,3,14,11,8,36,13.3,-14.616667
Sanka,Kolda,Kolda,medina_el_hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,158,Non,Oui,15,8,11,7,41,12.683333,-14.933333
Bérécolon,Kolda,Kolda,medina_el_hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,156,Non,Oui,15,8,11,7,41,12.7064339,-15.0022534
Linkéring Kanfodiang,Kolda,Kolda,medina_el_hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,146,Non,Oui,15,8,11,7,41,12.7487445,-14.9054721
Saré Gardi,Kolda,Kolda,medina_el_hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,146,Non,Oui,15,8,11,7,41,12.766667,-14.916667
Saré Ndiaye Maoundé,Kolda,Kolda,medina_el_hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,146,Non,Oui,15,8,11,7,41,12.6896293,-14.9380357
Saré Samboudiang,Kolda,Kolda,medina_el_hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,146,Non,Oui,15,8,11,7,41,12.8,-14.933333
Saré Waly,Kolda,Kolda,medina_el_hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,146,Non,Oui,15,8,11,7,41,12.8,-14.85
Kanwaly,Kolda,Kolda,medina_el_hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,83,Non,Oui,15,3,11,7,36,12.7487445,-14.9054721
Bantacountou Maoundé,Kolda,Kolda,Médina El Hadj,Zone 1 – Kolda & Sédhiou,1,Terminé 2018,146,Non,Oui,15,8,7,7,37,12.766667,-14.95
Saré Yéro Diao Soutou,Kolda,Kolda,Tankanto Escale,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,251,Oui,Non,8,14,7,8,37,12.8239324,-14.8715717
Sinthiang Sana,Kolda,Médina Yoro Foulah,,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,107,Oui,Oui,25,8,0,15,48,13.2079245,-15.1437652
Boumouda Soucoto,Sédhiou,Sédhiou,Djirédji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,478,Non,Oui,25,20,15,7,67,12.64,-15.924722
Badjicounda Baïnouck,Sédhiou,Sédhiou,Djirédji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.682222,-15.86
Boumouda Soucouto,Sédhiou,Sédhiou,Djirédji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.64,-15.924722
Karantaba koto,Sédhiou,Sédhiou,Djirédji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.6199491,-15.7710162
Kocoumba,Sédhiou,Sédhiou,Djirédji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.633333,-15.833333
Singhère Baïnouck,Sédhiou,Sédhiou,Djirédji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.6199491,-15.7710162
Dakabantang,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,456,Non,Oui,25,20,15,7,67,12.616667,-15.75
Singhère Mandingue,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Oui,Oui,25,8,15,15,63,12.671389,-15.91
Diagnonding,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,229,Non,Oui,25,14,15,7,61,12.6199491,-15.7710162
Balmadou,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,200,Non,Oui,25,14,15,7,61,12.623333,-15.859167
Samé,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,122,Non,Oui,25,8,15,7,55,12.6199491,-15.7710162
Woyoto,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,118,Non,Oui,25,8,15,7,55,12.65,-15.783333
Djirédji,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.616111,-15.786111
Linkéto,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.706389,-15.810833
Mané Counda,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.628611,-15.746667
Médina Souané,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.6199491,-15.7710162
Témento,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.631874,-15.7699727
Tintinkom,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.618333,-15.785
Touba Mandingue,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,187,Non,Oui,25,8,15,7,55,12.6199491,-15.7710162
Béréto,Sédhiou,Sédhiou,djiredji,Zone 1 – Kolda & Sédhiou,1,Terminé 2023,72,Non,Oui,25,3,15,7,50,12.6199491,-15.7710162
Kitim,Sédhiou,Goudomp,Niagha,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,268,Oui,Non,8,14,15,8,45,12.6778574,-15.3436085
Bamary,Sédhiou,Goudomp,Niagha,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,217,Oui,Non,8,14,15,8,45,12.6699581,-15.3144814
Kaolack  Saré Diatta),Sédhiou,Goudomp,Niagha,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,217,Oui,Non,8,14,15,8,45,12.6554622,-15.4277365
Mady,Sédhiou,Goudomp,Niagha,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,217,Oui,Non,8,14,15,8,45,12.6554622,-15.4277365
Santandiang,Sédhiou,Goudomp,Niagha,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,217,Oui,Non,8,14,15,8,45,12.6675,-15.364444
Sinthiou Diahé,Sédhiou,Goudomp,Niagha,Zone 1 – Kolda & Sédhiou,1,Terminé 2015,217,Oui,Non,8,14,15,8,45,12.6554622,-15.4277365
Winthiaco Niako,Sédhiou,Goudomp,Niagha,Zone 1 – Kolda & Sédhiou,1,Terminé 2016,217,Non,Oui,8,14,15,7,44,12.6554622,-15.4277365
